city,county_name,state_id,lat,lng,population
Los Angeles,Los Angeles,CA,34.1139,-118.4068,12750807
San Francisco,San Francisco,CA,37.7562,-122.443,3592294
San Diego,San Diego,CA,32.8312,-117.1225,3220118
Riverside,Riverside,CA,33.9381,-117.3948,2107852
Sacramento,Sacramento,CA,38.5667,-121.4683,1898019
San Jose,Santa Clara,CA,37.3019,-121.8486,1798103
Fresno,Fresno,CA,36.7831,-119.7941,703498
Concord,Contra Costa,CA,37.9722,-122.0016,652308
Mission Viejo,Orange,CA,33.6095,-117.655,590249
Bakersfield,Kern,CA,35.3529,-119.0359,579295
Murrieta,Riverside,CA,33.572,-117.1909,496046
Long Beach,Los Angeles,CA,33.7981,-118.1675,462628
Oakland,Alameda,CA,37.7903,-122.2165,433031
Indio,Riverside,CA,33.7346,-116.2346,417059
Stockton,San Joaquin,CA,37.9765,-121.3109,397264
Oxnard,Ventura,CA,34.1963,-119.1815,387647
Modesto,Stanislaus,CA,37.6374,-121.0028,383134
Anaheim,Orange,CA,33.839,-117.8572,350365
Victorville,San Bernardino,CA,34.5277,-117.3536,346789
Lancaster,Los Angeles,CA,34.6935,-118.1753,343304
Santa Ana,Orange,CA,33.7366,-117.8819,332318
Santa Rosa,Sonoma,CA,38.4458,-122.7067,324634
Santa Clarita,Los Angeles,CA,34.4175,-118.4964,312446
Antioch,Contra Costa,CA,37.9789,-121.7958,302419
Irvine,Orange,CA,33.6772,-117.7738,287401
Chula Vista,San Diego,CA,32.6281,-117.0145,274492
Fremont,Alameda,CA,37.5265,-121.9852,241110
Visalia,Tulare,CA,36.3276,-119.3269,237386
San Bernardino,San Bernardino,CA,34.1417,-117.2946,215784
Thousand Oaks,Ventura,CA,34.1914,-118.8755,215029
Fontana,San Bernardino,CA,34.0968,-117.4599,214547
Moreno Valley,Riverside,CA,33.9244,-117.2045,213055
Santa Barbara,Santa Barbara,CA,34.4285,-119.7202,202401
Glendale,Los Angeles,CA,34.1818,-118.2468,199303
Huntington Beach,Orange,CA,33.696,-118.0025,199223
Salinas,Monterey,CA,36.6884,-121.6317,190972
Ontario,San Bernardino,CA,34.0393,-117.6064,185010
Rancho Cucamonga,San Bernardino,CA,34.1248,-117.5666,177603
Hemet,Riverside,CA,33.7341,-116.9969,177253
Santa Cruz,Santa Cruz,CA,36.9789,-122.0346,176428
Oceanside,San Diego,CA,33.2247,-117.3083,175742
Elk Grove,Sacramento,CA,38.416,-121.3842,174775
Vallejo,Solano,CA,38.1133,-122.2358,173256
Garden Grove,Orange,CA,33.7787,-117.9601,171644
Corona,Riverside,CA,33.8616,-117.5649,169868
Hayward,Alameda,CA,37.6328,-122.0772,159203
Palmdale,Los Angeles,CA,34.5944,-118.1057,155079
Sunnyvale,Santa Clara,CA,37.3836,-122.0256,152703
Pomona,Los Angeles,CA,34.0585,-117.7626,151691
Escondido,San Diego,CA,33.1347,-117.0722,151625
Fairfield,Solano,CA,38.2592,-122.0324,148683
Merced,Merced,CA,37.3057,-120.4778,145149
Torrance,Los Angeles,CA,33.8346,-118.3417,143592
Roseville,Placer,CA,38.7703,-121.3196,141500
Pasadena,Los Angeles,CA,34.1597,-118.139,141029
Santa Maria,Santa Barbara,CA,34.9334,-120.4432,140545
Orange,Orange,CA,33.8038,-117.8218,138669
Fullerton,Orange,CA,33.8841,-117.9279,138632
Santa Clara,Santa Clara,CA,37.3645,-121.968,130365
Simi Valley,Ventura,CA,34.2663,-118.749,126589
Berkeley,Alameda,CA,37.8723,-122.276,121363
Redding,Shasta,CA,40.5698,-122.365,121313
Yuba City,Sutter,CA,39.1357,-121.6381,120456
East Los Angeles,Los Angeles,CA,34.0326,-118.1691,119827
Gilroy,Santa Clara,CA,37.0047,-121.5855,118993
Chico,Butte,CA,39.7575,-121.8152,117668
Seaside,Monterey,CA,36.6224,-121.8191,116720
El Monte,Los Angeles,CA,34.0739,-118.0291,115487
Carlsbad,San Diego,CA,33.1247,-117.2837,115382
Temecula,Riverside,CA,33.4928,-117.1315,114761
Clovis,Fresno,CA,36.8278,-119.6831,114584
Costa Mesa,Orange,CA,33.6667,-117.9135,113003
El Centro,Imperial,CA,32.7867,-115.5586,111425
Downey,Los Angeles,CA,33.9379,-118.1312,111126
Richmond,Contra Costa,CA,37.9477,-122.339,110567
Jurupa Valley,Riverside,CA,34.001,-117.4705,109527
San Buenaventura,Ventura,CA,34.2741,-119.2314,109106
Inglewood,Los Angeles,CA,33.9566,-118.3444,108151
Turlock,Stanislaus,CA,37.5053,-120.8588,107317
Daly City,San Mateo,CA,37.6862,-122.4685,106280
West Covina,Los Angeles,CA,34.0555,-117.9112,105101
San Mateo,San Mateo,CA,37.5521,-122.3122,104430
Norwalk,Los Angeles,CA,33.9069,-118.0829,103949
Rialto,San Bernardino,CA,34.1174,-117.3894,103526
Manteca,San Joaquin,CA,37.7927,-121.2264,103420
El Cajon,San Diego,CA,32.8017,-116.9605,102708
Burbank,Los Angeles,CA,34.1879,-118.3235,102511
Vista,San Diego,CA,33.1896,-117.2386,101638
Vacaville,Solano,CA,38.359,-121.968,101444
Arden-Arcade,Sacramento,CA,38.6034,-121.381,100548
Tracy,San Joaquin,CA,37.7269,-121.4522,100049
San Marcos,San Diego,CA,33.135,-117.1744,96664
Hesperia,San Bernardino,CA,34.3975,-117.3147,95750
Compton,Los Angeles,CA,33.893,-118.2275,95605
Menifee,Riverside,CA,33.6909,-117.1849,94756
Chino,San Bernardino,CA,33.9836,-117.6654,94371
Hanford,Kings,CA,36.3274,-119.6549,94028
South Gate,Los Angeles,CA,33.9448,-118.1926,93444
Carson,Los Angeles,CA,33.8374,-118.2559,91394
Livermore,Alameda,CA,37.6862,-121.7608,90923
Westminster,Orange,CA,33.7523,-117.9938,90643
Santa Monica,Los Angeles,CA,34.0232,-118.4813,90401
San Leandro,Alameda,CA,37.7071,-122.1601,88815
Citrus Heights,Sacramento,CA,38.6948,-121.288,87796
Hawthorne,Los Angeles,CA,33.9146,-118.3476,86068
Redwood City,San Mateo,CA,37.5026,-122.2252,85925
Lake Forest,Orange,CA,33.6606,-117.6712,85531
Napa,Napa,CA,38.2976,-122.3011,85239
Whittier,Los Angeles,CA,33.9678,-118.0188,85098
Newport Beach,Orange,CA,33.6151,-117.8669,84534
Milpitas,Santa Clara,CA,37.4339,-121.8921,84196
Madera,Madera,CA,36.9631,-120.0782,84086
Chino Hills,San Bernardino,CA,33.9508,-117.7253,83853
Alhambra,Los Angeles,CA,34.084,-118.1355,83750
Mountain View,Santa Clara,CA,37.4,-122.0796,82739
Buena Park,Orange,CA,33.8572,-118.0046,81788
Pleasanton,Alameda,CA,37.6663,-121.8805,81777
Folsom,Sacramento,CA,38.6668,-121.1422,81328
Tustin,Orange,CA,33.7309,-117.8106,79348
Lakewood,Los Angeles,CA,33.8471,-118.1221,79307
Perris,Riverside,CA,33.7899,-117.2233,79291
Alameda,Alameda,CA,37.767,-122.2672,77624
Watsonville,Santa Cruz,CA,36.9206,-121.7706,77352
Porterville,Tulare,CA,36.0644,-119.0338,77318
Upland,San Bernardino,CA,34.1178,-117.6603,77140
Davis,Yolo,CA,38.5552,-121.7365,76997
Camarillo,Ventura,CA,34.223,-119.0322,76931
Bellflower,Los Angeles,CA,33.888,-118.1271,76435
San Ramon,Contra Costa,CA,37.7625,-121.9365,75995
Baldwin Park,Los Angeles,CA,34.0829,-117.9721,75251
Rancho Cordova,Sacramento,CA,38.574,-121.2523,75087
Lodi,San Joaquin,CA,38.1218,-121.2932,74773
Union City,Alameda,CA,37.603,-122.0187,74107
Apple Valley,San Bernardino,CA,34.5328,-117.2104,73453
Pittsburg,Contra Costa,CA,38.0182,-121.8964,72588
Redlands,San Bernardino,CA,34.0511,-117.1712,71513
El Paso de Robles,San Luis Obispo,CA,35.6394,-120.656,70248
Walnut Creek,Contra Costa,CA,37.9024,-122.0398,70166
Lynwood,Los Angeles,CA,33.924,-118.2017,69887
Lake Elsinore,Riverside,CA,33.6847,-117.3344,69283
Rocklin,Placer,CA,38.8075,-121.2488,68823
South San Francisco,San Mateo,CA,37.6536,-122.4197,67789
Yorba Linda,Orange,CA,33.889,-117.7714,67644
Petaluma,Sonoma,CA,38.2423,-122.6267,66929
Redondo Beach,Los Angeles,CA,33.8574,-118.3766,66749
Laguna Niguel,Orange,CA,33.5275,-117.705,66385
Tulare,Tulare,CA,36.1996,-119.34,65496
Palo Alto,Santa Clara,CA,37.3913,-122.1468,65364
Dublin,Alameda,CA,37.7161,-121.8963,64826
Carmichael,Sacramento,CA,38.6337,-121.323,64785
